,year,region,license_count,x_point_x,y_point_x,accident_outcome,accident_count,x_point_y,y_point_y
58,2017,Jazan,18345,17.207231396199997,42.6525807422,No. of Casualties - Dead,466,17.207231396199997,42.6525807422
59,2017,Jazan,18345,17.207231396199997,42.6525807422,No. of Casualties - Injured,2207,17.207231396199997,42.6525807422
60,2016,Jazan,11504,17.207231396199997,42.6525807422,No. of Casualties - Dead,514,17.207231396199997,42.6525807422
61,2016,Jazan,11504,17.207231396199997,42.6525807422,No. of Casualties - Injured,2259,17.207231396199997,42.6525807422
62,2016,Jazan,11504,17.207231396199997,42.6525807422,No. of Accidents,25873,17.207231396199997,42.6525807422
63,2017,Riyadh,495307,23.0814341634,45.5857512766,No. of Accidents,99925,23.0814341634,45.5857512766
64,2017,Riyadh,495307,23.0814341634,45.5857512766,No. of Casualties - Injured,4540,23.0814341634,45.5857512766
65,2017,Riyadh,495307,23.0814341634,45.5857512766,No. of Casualties - Dead,1399,23.0814341634,45.5857512766
66,2016,Riyadh,242851,23.0814341634,45.5857512766,No. of Casualties - Dead,1430,23.0814341634,45.5857512766
67,2016,Riyadh,242851,23.0814341634,45.5857512766,No. of Accidents,141736,23.0814341634,45.5857512766
68,2016,Riyadh,242851,23.0814341634,45.5857512766,No. of Casualties - Injured,4207,23.0814341634,45.5857512766
69,2017,Al-Baha,4131,20.1484058503,41.4665484892,No. of Casualties - Dead,134,20.1484058503,41.4665484892
70,2017,Al-Baha,4131,20.1484058503,41.4665484892,No. of Accidents,1414,20.1484058503,41.4665484892
71,2017,Al-Baha,4131,20.1484058503,41.4665484892,No. of Casualties - Injured,1007,20.1484058503,41.4665484892
72,2016,Al-Jouf,9371,29.967744576199998,39.5570371172,No. of Casualties - Injured,920,29.967744576199998,39.5570371172
73,2016,Al-Jouf,9371,29.967744576199998,39.5570371172,No. of Accidents,10212,29.967744576199998,39.5570371172
74,2016,Al-Jouf,9371,29.967744576199998,39.5570371172,No. of Casualties - Dead,245,29.967744576199998,39.5570371172
75,2016,Tabouk,13610,27.90165499,37.2598581394,No. of Casualties - Dead,434,27.90165499,37.2598581394
76,2016,Tabouk,13610,27.90165499,37.2598581394,No. of Accidents,16031,27.90165499,37.2598581394
77,2016,Tabouk,13610,27.90165499,37.2598581394,No. of Casualties - Injured,1724,27.90165499,37.2598581394
