,licese_year,region,license_count,x_point,y_point,accident_year,accident_outcome,accident_count
74,2000,Makkah,87053,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
75,2000,Makkah,87053,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
76,2000,Makkah,87053,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
77,2000,Makkah,87053,21.628962766,41.2636898334,2017,No. of Accidents,145541
78,2006,Makkah,66967,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
79,2006,Makkah,66967,21.628962766,41.2636898334,2016,No. of Accidents,134838
80,2006,Makkah,66967,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
81,2006,Makkah,66967,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
82,2006,Makkah,66967,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
83,2006,Makkah,66967,21.628962766,41.2636898334,2017,No. of Accidents,145541
84,2009,Makkah,112045,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
85,2009,Makkah,112045,21.628962766,41.2636898334,2016,No. of Accidents,134838
86,2009,Makkah,112045,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
87,2009,Makkah,112045,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
88,2009,Makkah,112045,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
89,2009,Makkah,112045,21.628962766,41.2636898334,2017,No. of Accidents,145541
90,2017,Makkah,142487,21.628962766,41.2636898334,2016,No. of Casualties - Injured,12383
91,2017,Makkah,142487,21.628962766,41.2636898334,2016,No. of Accidents,134838
92,2017,Makkah,142487,21.628962766,41.2636898334,2017,No. of Casualties - Injured,10623
93,2017,Makkah,142487,21.628962766,41.2636898334,2017,No. of Casualties - Dead,1641
94,2017,Makkah,142487,21.628962766,41.2636898334,2016,No. of Casualties - Dead,2243
95,2017,Makkah,142487,21.628962766,41.2636898334,2017,No. of Accidents,145541
